,estimator,min_score,mean_score,max_score,std_score,reg_param,store_covariance,tol
9,QuadraticDiscriminantAnalysis,0.78150620754275,0.788199812602483,0.7992211290700398,0.006585463112742306,0.0001,True,0.001
15,QuadraticDiscriminantAnalysis,0.78150620754275,0.788199812602483,0.7992211290700398,0.006585463112742306,0.0001,False,0.1
14,QuadraticDiscriminantAnalysis,0.78150620754275,0.788199812602483,0.7992211290700398,0.006585463112742306,0.0001,False,0.01
13,QuadraticDiscriminantAnalysis,0.78150620754275,0.788199812602483,0.7992211290700398,0.006585463112742306,0.0001,False,0.001
12,QuadraticDiscriminantAnalysis,0.78150620754275,0.788199812602483,0.7992211290700398,0.006585463112742306,0.0001,False,0.0001
11,QuadraticDiscriminantAnalysis,0.78150620754275,0.788199812602483,0.7992211290700398,0.006585463112742306,0.0001,True,0.1
10,QuadraticDiscriminantAnalysis,0.78150620754275,0.788199812602483,0.7992211290700398,0.006585463112742306,0.0001,True,0.01
8,QuadraticDiscriminantAnalysis,0.78150620754275,0.788199812602483,0.7992211290700398,0.006585463112742306,0.0001,True,0.0001
1,QuadraticDiscriminantAnalysis,0.7814769266807214,0.7881471070508316,0.7991918482080113,0.006587879016964214,1e-05,True,0.001
0,QuadraticDiscriminantAnalysis,0.7814769266807214,0.7881471070508316,0.7991918482080113,0.006587879016964214,1e-05,True,0.0001
7,QuadraticDiscriminantAnalysis,0.7814769266807214,0.7881471070508316,0.7991918482080113,0.006587879016964214,1e-05,False,0.1
6,QuadraticDiscriminantAnalysis,0.7814769266807214,0.7881471070508316,0.7991918482080113,0.006587879016964214,1e-05,False,0.01
5,QuadraticDiscriminantAnalysis,0.7814769266807214,0.7881471070508316,0.7991918482080113,0.006587879016964214,1e-05,False,0.001
4,QuadraticDiscriminantAnalysis,0.7814769266807214,0.7881471070508316,0.7991918482080113,0.006587879016964214,1e-05,False,0.0001
3,QuadraticDiscriminantAnalysis,0.7814769266807214,0.7881471070508316,0.7991918482080113,0.006587879016964214,1e-05,True,0.1
2,QuadraticDiscriminantAnalysis,0.7814769266807214,0.7881471070508316,0.7991918482080113,0.006587879016964214,1e-05,True,0.01
23,QuadraticDiscriminantAnalysis,0.7428261888029983,0.7470367767627077,0.7549484656828297,0.0043577320997899745,0.001,False,0.1
22,QuadraticDiscriminantAnalysis,0.7428261888029983,0.7470367767627077,0.7549484656828297,0.0043577320997899745,0.001,False,0.01
21,QuadraticDiscriminantAnalysis,0.7428261888029983,0.7470367767627077,0.7549484656828297,0.0043577320997899745,0.001,False,0.001
20,QuadraticDiscriminantAnalysis,0.7428261888029983,0.7470367767627077,0.7549484656828297,0.0043577320997899745,0.001,False,0.0001
19,QuadraticDiscriminantAnalysis,0.7428261888029983,0.7470367767627077,0.7549484656828297,0.0043577320997899745,0.001,True,0.1
17,QuadraticDiscriminantAnalysis,0.7428261888029983,0.7470367767627077,0.7549484656828297,0.0043577320997899745,0.001,True,0.001
16,QuadraticDiscriminantAnalysis,0.7428261888029983,0.7470367767627077,0.7549484656828297,0.0043577320997899745,0.001,True,0.0001
18,QuadraticDiscriminantAnalysis,0.7428261888029983,0.7470367767627077,0.7549484656828297,0.0043577320997899745,0.001,True,0.01
28,QuadraticDiscriminantAnalysis,0.7061665495432186,0.7127371749824315,0.7182009838369642,0.004050363550072043,0.01,False,0.0001
31,QuadraticDiscriminantAnalysis,0.7061665495432186,0.7127371749824315,0.7182009838369642,0.004050363550072043,0.01,False,0.1
29,QuadraticDiscriminantAnalysis,0.7061665495432186,0.7127371749824315,0.7182009838369642,0.004050363550072043,0.01,False,0.001
30,QuadraticDiscriminantAnalysis,0.7061665495432186,0.7127371749824315,0.7182009838369642,0.004050363550072043,0.01,False,0.01
27,QuadraticDiscriminantAnalysis,0.7061665495432186,0.7127371749824315,0.7182009838369642,0.004050363550072043,0.01,True,0.1
26,QuadraticDiscriminantAnalysis,0.7061665495432186,0.7127371749824315,0.7182009838369642,0.004050363550072043,0.01,True,0.01
25,QuadraticDiscriminantAnalysis,0.7061665495432186,0.7127371749824315,0.7182009838369642,0.004050363550072043,0.01,True,0.001
24,QuadraticDiscriminantAnalysis,0.7061665495432186,0.7127371749824315,0.7182009838369642,0.004050363550072043,0.01,True,0.0001
32,QuadraticDiscriminantAnalysis,0.6704438978683532,0.6819044272663387,0.6887737174982431,0.0061799574474699056,0.1,True,0.0001
33,QuadraticDiscriminantAnalysis,0.6704438978683532,0.6819044272663387,0.6887737174982431,0.0061799574474699056,0.1,True,0.001
34,QuadraticDiscriminantAnalysis,0.6704438978683532,0.6819044272663387,0.6887737174982431,0.0061799574474699056,0.1,True,0.01
35,QuadraticDiscriminantAnalysis,0.6704438978683532,0.6819044272663387,0.6887737174982431,0.0061799574474699056,0.1,True,0.1
36,QuadraticDiscriminantAnalysis,0.6704438978683532,0.6819044272663387,0.6887737174982431,0.0061799574474699056,0.1,False,0.0001
37,QuadraticDiscriminantAnalysis,0.6704438978683532,0.6819044272663387,0.6887737174982431,0.0061799574474699056,0.1,False,0.001
38,QuadraticDiscriminantAnalysis,0.6704438978683532,0.6819044272663387,0.6887737174982431,0.0061799574474699056,0.1,False,0.01
39,QuadraticDiscriminantAnalysis,0.6704438978683532,0.6819044272663387,0.6887737174982431,0.0061799574474699056,0.1,False,0.1
